"s [mm]","w [mm]","w2 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
7.5,0.2,0.2,3,-4.82573179509262
7.5,0.2,0.2,3.1,-5.57071569174022
7.5,0.2,0.2,3.2,-6.57026519006737
7.5,0.2,0.2,3.3,-8.00890278553721
7.5,0.2,0.2,3.4,-10.3142351485232
7.5,0.2,0.2,3.5,-14.8409792105266
7.5,0.2,0.2,3.6,-35.5293591346822
7.5,0.2,0.2,3.7,-13.2961273644552
7.5,0.2,0.2,3.8,-6.18930593699997
7.5,0.2,0.2,3.9,-2.52923974659332
7.5,0.2,0.2,4,-0.809060355354956
7.5,0.2,0.2,4.1,-0.214131784673339
7.5,0.2,0.2,4.2,-0.158074493543932
7.5,0.2,0.2,4.3,-0.324247352605799
7.5,0.2,0.2,4.4,-0.571187317509598
7.5,0.2,0.2,4.5,-0.840413604951841
7.5,0.2,0.2,4.6,-1.1087125681661
7.5,0.2,0.2,4.7,-1.36750452526421
7.5,0.2,0.2,4.8,-1.61426740887776
7.5,0.2,0.2,4.9,-1.84894870069674
7.5,0.2,0.2,5,-2.07244067134552
7.5,0.2,0.2,5.1,-2.2859279163317
7.5,0.2,0.2,5.2,-2.49061274106556
7.5,0.2,0.2,5.3,-2.68760709480075
7.5,0.2,0.2,5.4,-2.87789817193898
7.5,0.2,0.2,5.5,-3.06234591060927
7.5,0.2,0.2,5.6,-3.24169332381377
7.5,0.2,0.2,5.7,-3.41658093749423
7.5,0.2,0.2,5.8,-3.58756143761696
7.5,0.2,0.2,5.9,-3.75511295774829
7.5,0.2,0.2,6,-3.9196505878272
7.5,0.2,0.2,6.1,-4.08153620950372
7.5,0.2,0.2,6.2,-4.24108692068069
7.5,0.2,0.2,6.3,-4.39858227987557
7.5,0.2,0.2,6.4,-4.55427052248374
7.5,0.2,0.2,6.5,-4.70837385393844
7.5,0.2,0.2,6.6,-4.86109291835148
7.5,0.2,0.2,6.7,-5.01261055179141
7.5,0.2,0.2,6.8,-5.16309493579538
7.5,0.2,0.2,6.9,-5.31270226220267
7.5,0.2,0.2,7,-5.46157900772878
7.5,0.2,0.2,7.1,-5.60986390101215
7.5,0.2,0.2,7.2,-5.75768964992319
7.5,0.2,0.2,7.3,-5.90518448448241
7.5,0.2,0.2,7.4,-6.0524735611792
7.5,0.2,0.2,7.5,-6.19968026755531
7.5,0.2,0.2,7.6,-6.34692746118623
7.5,0.2,0.2,7.7,-6.49433867424793
7.5,0.2,0.2,7.8,-6.64203931341694
7.5,0.2,0.2,7.9,-6.7901578847611
7.5,0.2,0.2,8,-6.93882727445036
7.5,0.2,0.2,8.1,-7.08818611864969
7.5,0.2,0.2,8.2,-7.23838029995723
7.5,0.2,0.2,8.3,-7.38956461352575
7.5,0.2,0.2,8.4,-7.54190465393905
7.5,0.2,0.2,8.5,-7.69557898460479
7.5,0.2,0.2,8.6,-7.8507816656908
7.5,0.2,0.2,8.7,-8.00772523564747
7.5,0.2,0.2,8.8,-8.16664426672605
7.5,0.2,0.2,8.9,-8.32779964897161
7.5,0.2,0.2,9,-8.49148380318213
7.5,0.2,0.2,9.1,-8.65802708606733
7.5,0.2,0.2,9.2,-8.82780573718748
7.5,0.2,0.2,9.3,-9.00125183748185
7.5,0.2,0.2,9.4,-9.17886591857593
7.5,0.2,0.2,9.5,-9.36123310401547
7.5,0.2,0.2,9.6,-9.54904401423064
7.5,0.2,0.2,9.7,-9.74312218358632
7.5,0.2,0.2,9.8,-9.94446051226924
7.5,0.2,0.2,9.9,-10.1542704596499
7.5,0.2,0.2,10,-10.3740495349117
7.5,0.2,0.3,3,-5.37227175763175
7.5,0.2,0.3,3.1,-6.22083667416578
7.5,0.2,0.3,3.2,-7.35605935129574
7.5,0.2,0.3,3.3,-8.98078145716751
7.5,0.2,0.3,3.4,-11.5652391417124
7.5,0.2,0.3,3.5,-16.6407594632013
7.5,0.2,0.3,3.6,-39.2425760048383
7.5,0.2,0.3,3.7,-14.1445235754857
7.5,0.2,0.3,3.8,-7.4745238814144
7.5,0.2,0.3,3.9,-3.70892017227669
7.5,0.2,0.3,4,-1.57704919343998
7.5,0.2,0.3,4.1,-0.541053794626365
7.5,0.2,0.3,4.2,-0.16583733867723
7.5,0.2,0.3,4.3,-0.13832641449216
7.5,0.2,0.3,4.4,-0.27680258707053
7.5,0.2,0.3,4.5,-0.488297936704814
7.5,0.2,0.3,4.6,-0.727879595581371
7.5,0.2,0.3,4.7,-0.974422411029201
7.5,0.2,0.3,4.8,-1.21829070644386
7.5,0.2,0.3,4.9,-1.45537439452097
7.5,0.2,0.3,5,-1.6842193005392
7.5,0.2,0.3,5.1,-1.90463358326684
7.5,0.2,0.3,5.2,-2.11700309356971
7.5,0.2,0.3,5.3,-2.32195280120883
7.5,0.2,0.3,5.4,-2.52018014583936
7.5,0.2,0.3,5.5,-2.71237503860173
7.5,0.2,0.3,5.6,-2.89918389133781
7.5,0.2,0.3,5.7,-3.08119597826329
7.5,0.2,0.3,5.8,-3.25894093188707
7.5,0.2,0.3,5.9,-3.43289154634064
7.5,0.2,0.3,6,-3.60346885680921
7.5,0.2,0.3,6.1,-3.77104793782111
7.5,0.2,0.3,6.2,-3.93596364690654
7.5,0.2,0.3,6.3,-4.09851595784436
7.5,0.2,0.3,6.4,-4.25897474913413
7.5,0.2,0.3,6.5,-4.4175840288229
7.5,0.2,0.3,6.6,-4.57456563520019
7.5,0.2,0.3,6.7,-4.73012248092462
7.5,0.2,0.3,6.8,-4.88444142087098
7.5,0.2,0.3,6.9,-5.0376958302468
7.5,0.2,0.3,7,-5.19004798534927
7.5,0.2,0.3,7.1,-5.34165135030373
7.5,0.2,0.3,7.2,-5.49265289704053
7.5,0.2,0.3,7.3,-5.64319563716482
7.5,0.2,0.3,7.4,-5.79342165483124
7.5,0.2,0.3,7.5,-5.94347617460565
7.5,0.2,0.3,7.6,-6.09351377391376
7.5,0.2,0.3,7.7,-6.24370932202045
7.5,0.2,0.3,7.8,-6.39428044749154
7.5,0.2,0.3,7.9,-6.54554244398417
7.5,0.2,0.3,8,-6.69807517063747
7.5,0.2,0.3,8.1,-6.853423843486
7.5,0.2,0.3,8.2,-7.01960028053471
7.5,0.2,0.3,8.3,-7.1232776346817
7.5,0.2,0.3,8.4,-7.28035001539725
7.5,0.2,0.3,8.5,-7.44364866627329
7.5,0.2,0.3,8.6,-7.60320293125334
7.5,0.2,0.3,8.7,-7.76292973640714
7.5,0.2,0.3,8.8,-7.92395877900086
7.5,0.2,0.3,8.9,-8.08687962844963
7.5,0.2,0.3,9,-8.25213233293424
7.5,0.2,0.3,9.1,-8.42011365640682
7.5,0.2,0.3,9.2,-8.59121410661814
7.5,0.2,0.3,9.3,-8.76583269868508
7.5,0.2,0.3,9.4,-8.94438287004392
7.5,0.2,0.3,9.5,-9.12729411907396
7.5,0.2,0.3,9.6,-9.31501112734257
7.5,0.2,0.3,9.7,-9.50799110899279
7.5,0.2,0.3,9.8,-9.7066997357419
7.5,0.2,0.3,9.9,-9.91160583444213
7.5,0.2,0.3,10,-10.1231750092323
7.5,0.2,0.4,3,-9.72835307616067
7.5,0.2,0.4,3.1,-11.8196018897727
7.5,0.2,0.4,3.2,-15.1794008176535
7.5,0.2,0.4,3.3,-22.1093958165731
7.5,0.2,0.4,3.4,-25.0106158749295
7.5,0.2,0.4,3.5,-14.5873382760901
7.5,0.2,0.4,3.6,-9.52187194824845
7.5,0.2,0.4,3.7,-6.39273484425013
7.5,0.2,0.4,3.8,-4.34285913191144
7.5,0.2,0.4,3.9,-2.92418059192727
7.5,0.2,0.4,4,-1.8797861153449
7.5,0.2,0.4,4.1,-1.14500898341895
7.5,0.2,0.4,4.2,-0.727072963287112
7.5,0.2,0.4,4.3,-0.588119077877827
7.5,0.2,0.4,4.4,-0.647331793288406
7.5,0.2,0.4,4.5,-0.825847291581834
7.5,0.2,0.4,4.6,-1.06771658602809
7.5,0.2,0.4,4.7,-1.33896722090381
7.5,0.2,0.4,4.8,-1.62057853576397
7.5,0.2,0.4,4.9,-1.90243302077447
7.5,0.2,0.4,5,-2.17941746430013
7.5,0.2,0.4,5.1,-2.44915807726298
7.5,0.2,0.4,5.2,-2.71075713233999
7.5,0.2,0.4,5.3,-2.96409848871605
7.5,0.2,0.4,5.4,-3.20946773188255
7.5,0.2,0.4,5.5,-3.44734528145479
7.5,0.2,0.4,5.6,-3.67829484902931
7.5,0.2,0.4,5.7,-3.902904722936
7.5,0.2,0.4,5.8,-4.12175841887221
7.5,0.2,0.4,5.9,-4.33542162213808
7.5,0.2,0.4,6,-4.5444380528195
7.5,0.2,0.4,6.1,-4.74933004505093
7.5,0.2,0.4,6.2,-4.95060138508111
7.5,0.2,0.4,6.3,-5.14874090935581
7.5,0.2,0.4,6.4,-5.34422584646055
7.5,0.2,0.4,6.5,-5.53752406101458
7.5,0.2,0.4,6.6,-5.72909429973252
7.5,0.2,0.4,6.7,-5.91938327883742
7.5,0.2,0.4,6.8,-6.10881800923482
7.5,0.2,0.4,6.9,-6.2977912100072
7.5,0.2,0.4,7,-6.48663727428011
7.5,0.2,0.4,7.1,-6.67559669401663
7.5,0.2,0.4,7.2,-6.8647694817121
7.5,0.2,0.4,7.3,-7.05406501935354
7.5,0.2,0.4,7.4,-7.24316851456333
7.5,0.2,0.4,7.5,-7.43156011269625
7.5,0.2,0.4,7.6,-7.61862862539092
7.5,0.2,0.4,7.7,-7.80389471888855
7.5,0.2,0.4,7.8,-7.98728791613181
7.5,0.2,0.4,7.9,-8.16934923849828
7.5,0.2,0.4,8,-8.35124170299173
7.5,0.2,0.4,8.1,-8.53457420541021
7.5,0.2,0.4,8.2,-8.72118765307116
7.5,0.2,0.4,8.3,-8.9131100365602
7.5,0.2,0.4,8.4,-9.11291103503592
7.5,0.2,0.4,8.5,-9.32498088353252
7.5,0.2,0.4,8.6,-9.56006504291292
