"l1 [mm]","l2 [mm]","l3 [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.8,3.4,2.35,5,-2.52671157019022
2.8,3.4,2.35,5.1,-2.63062462729372
2.8,3.4,2.35,5.2,-2.73742624303024
2.8,3.4,2.35,5.3,-2.84724200416862
2.8,3.4,2.35,5.4,-2.96020993867588
2.8,3.4,2.35,5.5,-3.076481747358
2.8,3.4,2.35,5.6,-3.19622419151943
2.8,3.4,2.35,5.7,-3.31962066078818
2.8,3.4,2.35,5.8,-3.446872949558
2.8,3.4,2.35,5.9,-3.57820327570813
2.8,3.4,2.35,6,-3.71385658159091
2.8,3.4,2.35,6.1,-3.8541031650088
2.8,3.4,2.35,6.2,-3.99924169738866
2.8,3.4,2.35,6.3,-4.14960269806618
2.8,3.4,2.35,6.4,-4.30555254811413
2.8,3.4,2.35,6.5,-4.46749814527032
2.8,3.4,2.35,6.6,-4.63589232427995
2.8,3.4,2.35,6.7,-4.8112401957392
2.8,3.4,2.35,6.8,-4.99410659316177
2.8,3.4,2.35,6.9,-5.18512486498764
2.8,3.4,2.35,7,-5.38500730903653
2.8,3.4,2.35,7.1,-5.59455762619734
2.8,3.4,2.35,7.2,-5.81468587453875
2.8,3.4,2.35,7.3,-6.04642654383832
2.8,3.4,2.35,7.4,-6.29096055708901
2.8,3.4,2.35,7.5,-6.54964225917407
2.8,3.4,2.35,7.6,-6.8240328020322
2.8,3.4,2.35,7.7,-7.11594182273494
2.8,3.4,2.35,7.8,-7.42748000051614
2.8,3.4,2.35,7.9,-7.76112607083973
2.8,3.4,2.35,8,-8.11981332684942
2.8,3.4,2.35,8.1,-8.50704280571311
2.8,3.4,2.35,8.2,-8.92703366062286
2.8,3.4,2.35,8.3,-9.38492637373241
2.8,3.4,2.35,8.4,-9.88706272189509
2.8,3.4,2.35,8.5,-10.4413800261301
2.8,3.4,2.35,8.6,-11.0579804350789
2.8,3.4,2.35,8.7,-11.74997709188
2.8,3.4,2.35,8.8,-12.5347949592526
2.8,3.4,2.35,8.9,-13.4362513811066
2.8,3.4,2.35,9,-14.4880437317982
2.8,3.4,2.35,9.1,-15.7399323601853
2.8,3.4,2.35,9.2,-17.2694528971768
2.8,3.4,2.35,9.3,-19.2058095560689
2.8,3.4,2.35,9.4,-21.7814178379395
2.8,3.4,2.35,9.5,-25.4213480513508
2.8,3.4,2.35,9.6,-30.1255746559477
2.8,3.4,2.35,9.7,-29.0966368506128
2.8,3.4,2.35,9.8,-24.0128536095424
2.8,3.4,2.35,9.9,-20.2081530725019
2.8,3.4,2.35,10,-17.3789166082108
2.8,3.4,2.35,10.1,-15.1418999534614
2.8,3.4,2.35,10.2,-13.2914386091318
2.8,3.4,2.35,10.3,-11.7126628355111
2.8,3.4,2.35,10.4,-10.3367067800067
2.8,3.4,2.35,10.5,-9.11982790024568
2.8,3.4,2.35,10.6,-8.03300856634825
2.8,3.4,2.35,10.7,-7.05636325337049
2.8,3.4,2.35,10.8,-6.17590863555045
2.8,3.4,2.35,10.9,-5.38157388660973
2.8,3.4,2.35,11,-4.66590158610165
2.8,3.4,2.35,11.1,-4.02315663962206
2.8,3.4,2.35,11.2,-3.44869320872887
2.8,3.4,2.35,11.3,-2.93849862277859
2.8,3.4,2.35,11.4,-2.4888696212113
2.8,3.4,2.35,11.5,-2.09619464011305
2.8,3.4,2.35,11.6,-1.7568238673701
2.8,3.4,2.35,11.7,-1.46701111429481
2.8,3.4,2.35,11.8,-1.22291139363972
2.8,3.4,2.35,11.9,-1.02061764991423
2.8,3.4,2.35,12,-0.856220618899784
2.8,3.4,2.35,12.1,-0.725877698731491
2.8,3.4,2.35,12.2,-0.625879741350825
2.8,3.4,2.35,12.3,-0.552708224432679
2.8,3.4,2.35,12.4,-0.503078704944756
2.8,3.4,2.35,12.5,-0.473969316877254
2.8,3.4,2.35,12.6,-0.462635129885052
2.8,3.4,2.35,12.7,-0.466610421855607
2.8,3.4,2.35,12.8,-0.483701467084745
2.8,3.4,2.35,12.9,-0.511972493274004
2.8,3.4,2.35,13,-0.549727204841173
2.8,3.4,2.35,13.1,-0.595487862696779
2.8,3.4,2.35,13.2,-0.64797346189384
2.8,3.4,2.35,13.3,-0.706078126075949
2.8,3.4,2.35,13.4,-0.768850475860755
2.8,3.4,2.35,13.5,-0.835474438899725
2.8,3.4,2.35,13.6,-0.905251750409781
2.8,3.4,2.35,13.7,-0.977586235576659
2.8,3.4,2.35,13.8,-1.05196985795382
2.8,3.4,2.35,13.9,-1.12797044939824
2.8,3.4,2.35,14,-1.20522099709864
2.8,3.4,2.35,14.1,-1.2834103435503
2.8,3.4,2.35,14.2,-1.3622751494298
2.8,3.4,2.35,14.3,-1.4415929723606
2.8,3.4,2.35,14.4,-1.52117632301866
2.8,3.4,2.35,14.5,-1.60086757144127
2.8,3.4,2.35,14.6,-1.68053458910455
2.8,3.4,2.35,14.7,-1.76006702524379
2.8,3.4,2.35,14.8,-1.83937312833837
2.8,3.4,2.35,14.9,-1.91837703529755
2.8,3.4,2.35,15,-1.99701646148754
2.8,3.45,2.35,5,-2.76643527147528
2.8,3.45,2.35,5.1,-2.87944230669292
2.8,3.45,2.35,5.2,-2.99556573288125
2.8,3.45,2.35,5.3,-3.11494430857854
